headline,review,rating
Not soo good.,Can buy only one time.,1.0 out of 5 stars
Don't buy them,Don't buy them they work well fr a while but even though the ink is not finished they stop working 😤,1.0 out of 5 stars
Best quality gel pen,Less water resistant but averall best,5.0 out of 5 stars
बवाल,बवाल है,5.0 out of 5 stars
Good,,3.0 out of 5 stars
Two out of five pens were leaked.,"Two out of five pens were leaked.
My hands were blue with ink when I opened the pack .",3.0 out of 5 stars
Easy to hold colors are so good all pens are working properly but packing is not good,,3.0 out of 5 stars
Very good jel pen,I like this pen,5.0 out of 5 stars
Pen,Write clearly,3.0 out of 5 stars
Thank you for this product.,"Nice attractive body helps children use the pen and enjoy.
Different body colours also removes monotonous system.",5.0 out of 5 stars
Nice product,Value for money.,5.0 out of 5 stars
Good product,The pens are great and value for money in this price range. Over all a great product,5.0 out of 5 stars
Not good,It's not working properly.,1.0 out of 5 stars
Colours pens,,4.0 out of 5 stars
Useful,Very best,5.0 out of 5 stars
Affordable price and easy to write,Value for money,5.0 out of 5 stars
Waste of money,Pen is not good. no smooth handwriting.never buy.,1.0 out of 5 stars
Looks beautiful works good.,Look is nice. Smooth writing and firm grip. Ink is dark too.,5.0 out of 5 stars
Blue gel Pen set,"😍my favorite, good quality.",5.0 out of 5 stars
Nice pen,Nice pens. Value for money,5.0 out of 5 stars
Not good,Stopped writing after some days. Disappointed,3.0 out of 5 stars
EASY WRITING,Good,4.0 out of 5 stars
Classmate gel pens,Value for money 👌,5.0 out of 5 stars
Good pen,"Writes smoothly, my go to gel pens",5.0 out of 5 stars
Smoothness,"Good and fast delivery
It's grip is good and smoothness is also good",5.0 out of 5 stars
Overall Very Good,All the pens received are good and writes smoothly. It is very lightweight and easy to hold. The ink is also waterproof.,5.0 out of 5 stars
Nice,Good,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Great writing,"Worth having the pen, smooth, easy to write.",5.0 out of 5 stars
Smooth writing pens at a great price.,"I had run out of pens and due to the lockdown, the stationary shops were closed. I am used to writing with ball pens, but nevertheless decided to buy these. These pens are really good. They are light and comfortable to write with. Also they write smoothly and unlike most ball pens they do not stop writing half way. They write properly till the end of the refill. Only downside is you cannot write very fast with it. The price also is good. Please go ahead and buy them if you are in need of good pens.",5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Fully Satisfied with the Brand and Amazon. In,All information and description are provided True.,5.0 out of 5 stars
Not recommended,Most pens didn’t work. Better to head out to a nearby stationery store to try and buy them.,2.0 out of 5 stars
Excellent !,Smooth ink flow.,5.0 out of 5 stars
Got leaked in one day,The pen got leaked in one day,1.0 out of 5 stars
Nice pen, Easy to hold and water resistance or value for money,5.0 out of 5 stars
Best for every student's,Opp,5.0 out of 5 stars
Value for money pens for one time quick use,These pens are good but each pen will last for 4/5 pages of A4 size page writing only.After that it will dry up.We need to keep cap closed when not in use even for 10 min,4.0 out of 5 stars
Satisfied,Too much impressed,5.0 out of 5 stars
Excellent,Easy to hold. Water resistance. Value for money,5.0 out of 5 stars
ok,ok,5.0 out of 5 stars
Wowee price and quality,,5.0 out of 5 stars
Nice colourful pen,Nice,5.0 out of 5 stars
Good,,5.0 out of 5 stars
Boot aacha 🙂🙂,Good 🙂🙂,5.0 out of 5 stars
Smooth ✍️,Good pens...smooth tip and consistent ink flow,5.0 out of 5 stars
Flow achcha hai,Pasand hai bahut-bahut,5.0 out of 5 stars
How for writing?,Very interesting... Bareh Maja a gaya.,5.0 out of 5 stars
Good,,5.0 out of 5 stars
It is water resistant,Very easy to hold and it is water resistant 😍loved them,5.0 out of 5 stars
TQqqq so much,Vry 👍 product must buy 😇,5.0 out of 5 stars
they ALL are BLUE,"I thought they were different colors and ordered them
non returnable pens :(",5.0 out of 5 stars
A nice looking colorful set of blue gel pens,I really love octane classmate gel pens they are cost effective colorful and the best part of it is its ink which is much deep blue compare to other gel pens that available in the market right now. It's gives a feeling of Add gel which I used when I was in my school. Added to this it comes in a nice neon colors and it also got a rubber grip which helps to have a good hold while writing. Overall it's a value for money and I am really happy that Amazon make this product eligible for prime customer. So as a prime customer I can only oder this one without giving any extra delivery charge.,5.0 out of 5 stars
Superb,Superb,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Best in price,Good,5.0 out of 5 stars
Please buy this,One of the best pens writes smooth,5.0 out of 5 stars
Good,Good one from classmate,5.0 out of 5 stars
Nice product,Very nice product thanku @Amazon.in,5.0 out of 5 stars
Pen is good for student,Nice product,5.0 out of 5 stars
"It's smooth,overall good.",Value for money,5.0 out of 5 stars
Good pen,Nice pen,5.0 out of 5 stars
Good product,Fun colour fine writing not much bleeding throughout the pages like some gel pen does. Smooth writing but sometimes the ink doesn't come out properly while writing but that's not a big problem because that goes away. It would've been better if the tip size were little bit of more smaller. But other than that its a good product. So write non-stop ✌🏼💙💚🧡💗 have fun with the neon vibrant colours,3.0 out of 5 stars
Excellent.,"Very nice product
..nice body colours..ans good ink..",5.0 out of 5 stars
A constant saver but...,"This has always been my go-to pen. Though it doesnt last long like the uniball or pilot, it does a really good job for its money and literally the best to have. BUT THIS IS A MAJOR POLLUTION TO ENVIRONMENT SINCE IT USES PLASTIC AND WE END UP USING A LOT OF THESE PENS THAN EXPECTED. SO TRY CONSUMING THIS AS LESS AS POSSIBLE.",5.0 out of 5 stars
Good,Good one,4.0 out of 5 stars
Not good,"Quality not good, ink colour very light.
Pen appears very cheap",1.0 out of 5 stars
Manny time stops not useful pen, Bed experience with this product,1.0 out of 5 stars
Best pen ever 👍,"Fantastic product by Octane as they did before very smooth and thick writing.No ink sludge.Attractive colours,Five fantastic neon colours.Replacable refill.My rating is *****. Super price.Rs 10/per pen.No other company produces such a quality pen for Rs 10.This pen is just so amazing.Suitable for writing without no problem,Soft grip too.Satiesfied when we write with this pen The hand writing is fabulous.Loved it!👍😎😀",5.0 out of 5 stars
Good product. Seller 👍👍👍👍👍,Hood product very nice,5.0 out of 5 stars
Very nice 🖊️,Very nice 🖊️,5.0 out of 5 stars
Poor Packaging but the product is fine,"The product is soo good. After all , it is classmate brand. So I am happy with the product. But packaging was so poor. Packaging was some damaged but thank god product is all good. So Amazon need to improve the packaging status.",3.0 out of 5 stars
All pens were leaking ink.,All pens were leaking ink as soon as they were removed from package.,2.0 out of 5 stars
Good quality,Product was in a good quality easy and comfortable to write,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
It smudge easily,It has nice grip,5.0 out of 5 stars
It Is Really Value Of Money,This Is A Nice Product With Good Handwriting And Smoothness.One Problem Which I See Is That It is Very Slippy.Hard To Manage Till You Don’t Set Your Hands On it.Overall Nice Pen.,4.0 out of 5 stars
Awesome colour neon body must buy if you need something different in colour,"Yes it is water proof I will give it 4.5/5
You can write smoothly as fast as you can
Grip Don't feel so comfortable because it circumference of body near a tip of pen after using it for 2-3 days you get a grip",4.0 out of 5 stars
Amazing product,If you buy this product in rupees 50 you will get 3 packs and in one pack you will get 5 pens . And if you go to the market you will get 5 pens in 50 rupees . They are blue in colour . I like this product very much . It is cheap but it is also very nice .,5.0 out of 5 stars
Nice,Good pens,5.0 out of 5 stars
Not worth,Not worth it,1.0 out of 5 stars
Really good pen.,Very good pen with very smooth writing experience and finger grip is excellent.l recommend every one to have one .,5.0 out of 5 stars
Great quality pens but grip isn't much great., Everything is great excepting the grip quality.,5.0 out of 5 stars
Awesome,Absolutely love these pens. Smooth and cool grip and absolutely a pleasure to write. Specially the colours are vibrant - peps up mood in conference rooms :),4.0 out of 5 stars
Value for money,Packing was very good. Pen is smooth. Good for daily use and gifting. Value for money. Recommendation to come up with regular colors instead of neon,4.0 out of 5 stars
Disappointed,"It's just coloured outside,ink is blue only, waste for me",1.0 out of 5 stars
VALUE FOR MONEY,"It's a value for money product.
Good in quality and smooth.
Colors makes them attractive also
I prefer you can buy it",5.0 out of 5 stars
Terrible Quality,"These pens are terrible quality pens. The writing breaks because the tips are very poor quality. Please avoid it because you don't want to waste your money.

The packaging and the colours are very nice, but don't be fooled.",1.0 out of 5 stars
Ok,Gud,2.0 out of 5 stars
It's very good product 👍👌,,5.0 out of 5 stars
Okay kind of.,"well tbvh,sometimes i couldn't be able to write with these pens properly. This is the only con i've found.",4.0 out of 5 stars
i like it have free dilevery,good it have free dilevery you must buy it go and buy it is better but there is no ball pen,5.0 out of 5 stars
Good product,A very good product but not as value for its price,5.0 out of 5 stars
nice,the colour is wonderful,4.0 out of 5 stars
looks attractive but ink doesnt flow smoothly,looks attractive but ink doesnt flow smoothly,1.0 out of 5 stars
Simply superb 😉😜.,Good product. But not water resistance.In remaining all aspects it's amazing.,4.0 out of 5 stars
Good pens!,Received completely crumpled packets.However pens inside were in good condition.First impression is to throw them in the dust bin.Third rate packing,3.0 out of 5 stars
Excellent Item,Good product!! Need to work on the ink and sheerness,4.0 out of 5 stars
Very good product,Very good product,5.0 out of 5 stars
Colourful n unique,Loving dis product...whenever i use these pens ppl tend 2 notice n askfrom where i brought ...ink is rechangeble n similar to other companies ...the tip is bit different so needed 2 practice for some time 2 get a firm grip,5.0 out of 5 stars
Not smooth,Not smooth,1.0 out of 5 stars
Too good,"works fine, thanks",5.0 out of 5 stars
Good product,Writes well. Not happy with the grip,4.0 out of 5 stars
Smooth and Easy to Grip,The ink is really good. But it is not water resistant. Washes of very easily. Pens are easy to grip and very smooth though.,4.0 out of 5 stars
"Less pen ,got open packet",Got one pen less and packet was open .,4.0 out of 5 stars
Amazon brand name packing 10/1,"Pen good.

Amazon brand name
Packing very poor",4.0 out of 5 stars
Good quality pens,"I like the deep blue colour and the touch of the pen on the paper. It’s smooth and friction free.

However, while ordering I thought it’s colour pens which writes colourfully. But all are only blue pens. I was disappointed for that.",5.0 out of 5 stars
Good pen,Good for writing,4.0 out of 5 stars
Basic and student friendly pens,Nice pens for daily classroom use! The manufacturing date was altered in pack. That can be avoided.,5.0 out of 5 stars
Buy if you make allmost no mistakes.,It has too much ink flow.,4.0 out of 5 stars
Great product,I love these pens because they are super smooth and the blue ink is also very vibrant with the colourful neon body. I glide through pages with these pens. I will for sure buy this again. Very happy with this product. Value for money and water resistant😍😍🤗🤗,5.0 out of 5 stars
Only the body's are neon in color not the ink 🤌,Only the body's are neon in color not the ink 🤌,1.0 out of 5 stars
Octane,Not working properly and in 2 pens refill was empty,1.0 out of 5 stars
Good product,As expected. Value for money.,4.0 out of 5 stars
Refills are of blue colours and not neon,I bought these pens thinking that the refills are of neon colours but alas they all are of blue colours. So I was disappointed.,3.0 out of 5 stars
in this prize it is good pen,"It is average pen ,,,
And but in this prize it is good pen...and finely
I would say it's colours are amazing!!",4.0 out of 5 stars
Not good,Ink is not proper working,1.0 out of 5 stars
Amazing Gel Pen..,"Classmate Octane Neon- Blue Gel Pens are amazing and super smooth, ink color and brightness is excellent, holding ergonomics is good and smug free.. worth buying.",5.0 out of 5 stars
Writing not smooth,The pens are good and not expensive but the writing is not smooth.,3.0 out of 5 stars
Nice,Its very nice. Would recomend you to use,5.0 out of 5 stars
good quality,good quality product,4.0 out of 5 stars
Good but no longevity,The color is similar to pilot v7 but is not that smooth and water resistant,4.0 out of 5 stars
Very Good Quality,Smooth writing. Best for students.,4.0 out of 5 stars
Description should be clear,"All 5 pens are of blue ink and only the body is of neon colors. Pls give the description more clearly..
as of quality, its good 👏🏻",4.0 out of 5 stars
Waste of money 😕😕😕,"When I was writing with the first pen, it was OK for 3 days. Next day it was not working. Waste of money. 😠😠😠😠😠😠",3.0 out of 5 stars
Value for money,very nice pen you can gift it to anyone value for money,4.0 out of 5 stars
Ok,Some pens are doesn't have longitivity. Sometimes ink gets stuck and cannot write.,4.0 out of 5 stars
It is really a classmate.,"The pen is too awesome and it gives us very beautifull handwriting.
It looks too attractive when you will write with tis pen.
I am totall satisfied with tihs product and I am sure if you will purchase this pen then you will not be diappointed.",5.0 out of 5 stars
Good,"Value for money. Smooth writing. Good for grip. No need to press much while writing. Colourful as it looks on photo. All of them are blue gel pens, just body colour is different.",5.0 out of 5 stars
Not bad,"It was smooth at first ,but then the pen stops writing for sometime not bad",3.0 out of 5 stars
Nice,I like it,4.0 out of 5 stars
Value for money,Value for money,4.0 out of 5 stars
Cheers,Ok nice good quality,4.0 out of 5 stars
Best pen,"This pen is just so amazing. Suitable for writing without any problem, Soft grip too. Satisfied.
When we write with this pen the handwriting is fabulous. Loved it !!!",5.0 out of 5 stars
